epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5814,1.84302,3.7688,1.75636,0.00689,0.66755,0.12285,0.06408,1.5861,3.91192,1.73862,0.0003,0.0003,0.0003
2,51.9341,1.75034,3.14068,1.60142,0.42849,0.1196,0.18966,0.08732,1.68765,3.5308,1.87926,0.000603961,0.000603961,0.000603961
3,64.5363,1.75063,2.81322,1.63976,0.65151,0.33766,0.31415,0.13882,1.79629,3.00623,2.0344,0.000901784,0.000901784,0.000901784
4,76.8371,1.76171,2.55953,1.67081,0.57694,0.2804,0.28322,0.14179,1.84722,3.57577,2.24212,0.0009703,0.0009703,0.0009703
5,89.3978,1.77839,2.38734,1.68618,0.59489,0.37667,0.37407,0.20462,1.96376,2.96162,2.24049,0.0009604,0.0009604,0.0009604
6,102.047,1.73902,2.33093,1.62655,0.50638,0.40106,0.38602,0.17399,1.92558,2.68242,2.12339,0.0009505,0.0009505,0.0009505
7,114.345,1.74736,2.26109,1.62282,0.45954,0.33653,0.39633,0.17612,1.85199,2.61437,2.01009,0.0009406,0.0009406,0.0009406
8,126.282,1.75193,2.1877,1.62459,0.30972,0.43735,0.33621,0.14936,1.89809,2.80113,2.10924,0.0009307,0.0009307,0.0009307
9,137.865,1.67805,2.13692,1.61589,0.55265,0.3814,0.41992,0.22211,1.83391,2.64362,1.98947,0.0009208,0.0009208,0.0009208
10,150.634,1.70457,2.05258,1.59103,0.6986,0.3986,0.54678,0.26993,1.80602,2.34367,1.95703,0.0009109,0.0009109,0.0009109
11,162.54,1.64262,1.98939,1.60635,0.64048,0.43723,0.525,0.26411,1.81686,2.23706,2.00732,0.000901,0.000901,0.000901
12,175.333,1.66794,1.98471,1.59447,0.55908,0.49468,0.47062,0.21153,1.83791,2.65296,1.9313,0.0008911,0.0008911,0.0008911
13,187.425,1.64789,1.90964,1.58985,0.70859,0.45746,0.51085,0.24396,1.81235,2.23381,1.92637,0.0008812,0.0008812,0.0008812
14,199.707,1.64639,1.8137,1.56389,0.74538,0.43469,0.50625,0.24667,1.75475,2.51176,1.85016,0.0008713,0.0008713,0.0008713
15,211.912,1.59264,1.80199,1.53111,0.57845,0.42622,0.49351,0.22898,1.81649,2.11874,1.89772,0.0008614,0.0008614,0.0008614
16,222.529,1.59162,1.75434,1.52574,0.62477,0.45214,0.40858,0.21849,1.7394,2.59903,1.90465,0.0008515,0.0008515,0.0008515
17,235.466,1.61058,1.76476,1.53557,0.53066,0.53803,0.53421,0.28617,1.83247,2.10182,1.98552,0.0008416,0.0008416,0.0008416
18,247.727,1.59402,1.72028,1.52385,0.68507,0.54489,0.57839,0.30233,1.76636,2.0069,1.94966,0.0008317,0.0008317,0.0008317
19,260.064,1.58802,1.65433,1.49622,0.64927,0.54728,0.57915,0.30163,1.7335,2.12,1.85883,0.0008218,0.0008218,0.0008218
20,272.192,1.63366,1.70082,1.5079,0.61536,0.47041,0.49337,0.25071,1.74291,2.0355,1.85409,0.0008119,0.0008119,0.0008119
21,284.088,1.5359,1.58703,1.50883,0.67985,0.55209,0.61758,0.31024,1.72391,1.94958,1.81419,0.000802,0.000802,0.000802
22,295.38,1.55658,1.57778,1.51826,0.57826,0.54899,0.53542,0.27007,1.88925,2.07874,1.98953,0.0007921,0.0007921,0.0007921
23,307.972,1.54051,1.5249,1.45824,0.77728,0.51134,0.63092,0.35676,1.70719,1.79617,1.83787,0.0007822,0.0007822,0.0007822
24,320.436,1.52726,1.47373,1.46109,0.72363,0.55646,0.64781,0.33992,1.75015,1.86828,1.84799,0.0007723,0.0007723,0.0007723
25,332.479,1.54553,1.54846,1.49626,0.68031,0.52772,0.60165,0.33316,1.65982,2.12652,1.79301,0.0007624,0.0007624,0.0007624
26,344.816,1.50721,1.44105,1.46616,0.75681,0.54525,0.62919,0.33339,1.73929,1.79288,1.8665,0.0007525,0.0007525,0.0007525
27,357.187,1.48057,1.3819,1.44476,0.72868,0.58523,0.6445,0.3427,1.7248,1.90911,1.81052,0.0007426,0.0007426,0.0007426
28,369.388,1.50651,1.39257,1.43825,0.76851,0.57451,0.63283,0.33669,1.72119,1.80838,1.81678,0.0007327,0.0007327,0.0007327
29,381.216,1.53769,1.42259,1.45321,0.61445,0.62755,0.63704,0.34404,1.77416,1.84333,1.91654,0.0007228,0.0007228,0.0007228
30,393.203,1.51164,1.37971,1.46753,0.60279,0.60677,0.61931,0.32117,1.77721,1.87069,1.82859,0.0007129,0.0007129,0.0007129
31,405.553,1.52876,1.33045,1.4599,0.75559,0.60274,0.64583,0.34223,1.66325,1.68121,1.76241,0.000703,0.000703,0.000703
32,418.103,1.48358,1.37627,1.44928,0.7162,0.4966,0.60367,0.34319,1.67549,2.008,1.79951,0.0006931,0.0006931,0.0006931
33,430.369,1.44706,1.27931,1.45012,0.63149,0.65932,0.66636,0.37686,1.70655,1.8367,1.83577,0.0006832,0.0006832,0.0006832
34,443.043,1.43714,1.29441,1.42186,0.77727,0.5809,0.62153,0.34701,1.65895,1.85955,1.75698,0.0006733,0.0006733,0.0006733
35,454.828,1.42753,1.24771,1.40091,0.69658,0.62857,0.68376,0.3677,1.70608,1.72105,1.81013,0.0006634,0.0006634,0.0006634
36,466.759,1.44165,1.25322,1.41874,0.898,0.51661,0.6241,0.33969,1.71093,1.92998,1.80199,0.0006535,0.0006535,0.0006535
37,478.328,1.39433,1.21667,1.40789,0.82264,0.55878,0.67516,0.35234,1.7813,1.75368,1.96109,0.0006436,0.0006436,0.0006436
38,491.026,1.43675,1.22093,1.40832,0.76246,0.6343,0.72328,0.40985,1.65329,1.68218,1.75732,0.0006337,0.0006337,0.0006337
39,503.223,1.39468,1.2238,1.40323,0.81117,0.68435,0.72843,0.39602,1.68033,1.45724,1.77786,0.0006238,0.0006238,0.0006238
40,515.631,1.39746,1.17281,1.38107,0.70428,0.66617,0.71282,0.37163,1.71856,1.52236,1.77746,0.0006139,0.0006139,0.0006139
41,528.297,1.39399,1.15308,1.37739,0.74002,0.62036,0.67283,0.38892,1.67918,1.61917,1.76085,0.000604,0.000604,0.000604
42,540.843,1.40561,1.18145,1.38673,0.77541,0.50182,0.62738,0.34943,1.68222,1.70568,1.78437,0.0005941,0.0005941,0.0005941
43,552.702,1.37824,1.11414,1.36389,0.84286,0.68334,0.71729,0.3752,1.72859,1.51013,1.78023,0.0005842,0.0005842,0.0005842
44,564.467,1.34734,1.13072,1.35697,0.78042,0.69518,0.728,0.38525,1.6029,1.46562,1.71255,0.0005743,0.0005743,0.0005743
45,576.937,1.34289,1.12106,1.34811,0.78484,0.63274,0.69647,0.37564,1.80887,1.62112,1.89896,0.0005644,0.0005644,0.0005644
46,589.955,1.36811,1.09401,1.37791,0.79362,0.6556,0.67566,0.3567,1.68237,1.51177,1.83005,0.0005545,0.0005545,0.0005545
47,602.165,1.30693,1.05718,1.33315,0.75554,0.64744,0.6857,0.38077,1.71955,1.61822,1.82493,0.0005446,0.0005446,0.0005446
48,614.868,1.31711,1.07849,1.33531,0.69815,0.70481,0.71493,0.40313,1.59193,1.57305,1.71736,0.0005347,0.0005347,0.0005347
49,626.291,1.31152,1.04928,1.32818,0.69371,0.67609,0.69743,0.40034,1.63769,1.60264,1.73214,0.0005248,0.0005248,0.0005248
50,637.832,1.27167,1.02827,1.31353,0.80922,0.65304,0.72769,0.39996,1.66026,1.48233,1.71978,0.0005149,0.0005149,0.0005149
51,650.513,1.30219,1.09779,1.35338,0.79474,0.6637,0.71855,0.39092,1.63385,1.46183,1.74587,0.000505,0.000505,0.000505
52,663.052,1.32209,1.02514,1.32246,0.83058,0.65202,0.72607,0.40097,1.74698,1.60847,1.82605,0.0004951,0.0004951,0.0004951
53,675.291,1.27796,1.00227,1.32321,0.79502,0.6427,0.67861,0.39033,1.70472,1.65568,1.83346,0.0004852,0.0004852,0.0004852
54,687.79,1.28297,1.01584,1.32802,0.82654,0.62864,0.68364,0.38679,1.68773,1.70563,1.8041,0.0004753,0.0004753,0.0004753
55,700.165,1.29773,1.00707,1.30767,0.80017,0.62591,0.66933,0.37632,1.72083,1.69461,1.84102,0.0004654,0.0004654,0.0004654
56,712.64,1.27876,1.00492,1.30979,0.89501,0.68048,0.70923,0.37224,1.70322,1.46605,1.83218,0.0004555,0.0004555,0.0004555
57,724.073,1.27843,1.01136,1.30638,0.82139,0.6869,0.71512,0.39254,1.64761,1.53184,1.75865,0.0004456,0.0004456,0.0004456
58,736.283,1.22394,0.9378,1.28221,0.80516,0.68417,0.67865,0.37532,1.66378,1.49545,1.80849,0.0004357,0.0004357,0.0004357
59,748.603,1.24502,0.97042,1.29212,0.80473,0.69924,0.72621,0.39778,1.66898,1.45353,1.78104,0.0004258,0.0004258,0.0004258
60,761.535,1.25903,0.96752,1.28995,0.85649,0.67469,0.73023,0.41302,1.71352,1.56207,1.81147,0.0004159,0.0004159,0.0004159
61,773.7,1.24027,0.94592,1.29104,0.82597,0.66751,0.71857,0.40803,1.6847,1.63325,1.76168,0.000406,0.000406,0.000406
62,785.809,1.19937,0.9159,1.2655,0.80889,0.68543,0.73725,0.40989,1.65684,1.53769,1.77114,0.0003961,0.0003961,0.0003961
63,797.67,1.23356,0.93716,1.29614,0.88134,0.69782,0.73985,0.41665,1.66241,1.54006,1.75014,0.0003862,0.0003862,0.0003862
64,809.005,1.19648,0.91916,1.26713,0.82749,0.64667,0.70933,0.40022,1.6615,1.59877,1.74053,0.0003763,0.0003763,0.0003763
65,821.624,1.17714,0.91002,1.25228,0.88771,0.65853,0.71377,0.402,1.69783,1.5916,1.81452,0.0003664,0.0003664,0.0003664
66,833.975,1.19339,0.89881,1.25624,0.83587,0.62504,0.70589,0.40353,1.62955,1.65692,1.78303,0.0003565,0.0003565,0.0003565
67,846.835,1.16403,0.91108,1.25506,0.76218,0.72333,0.72275,0.40574,1.60495,1.56768,1.71859,0.0003466,0.0003466,0.0003466
68,859.654,1.16705,0.88676,1.23706,0.8922,0.70201,0.75179,0.41282,1.68657,1.52562,1.80731,0.0003367,0.0003367,0.0003367
69,871.722,1.18119,0.90198,1.25172,0.81552,0.69172,0.73415,0.39763,1.67911,1.50763,1.82129,0.0003268,0.0003268,0.0003268
70,882.404,1.16166,0.89164,1.25561,0.80192,0.70673,0.72706,0.39336,1.6346,1.51263,1.78813,0.0003169,0.0003169,0.0003169
71,894.832,1.15277,0.85354,1.24165,0.81772,0.67813,0.72975,0.42617,1.60146,1.54871,1.74371,0.000307,0.000307,0.000307
72,907.034,1.13077,0.84958,1.22267,0.88684,0.65841,0.72258,0.4212,1.61229,1.60752,1.75424,0.0002971,0.0002971,0.0002971
73,919.441,1.15178,0.84523,1.23149,0.82874,0.68225,0.73584,0.42642,1.61422,1.61157,1.76493,0.0002872,0.0002872,0.0002872
74,931.807,1.13659,0.82997,1.21203,0.90884,0.6731,0.74451,0.42335,1.66536,1.45223,1.77116,0.0002773,0.0002773,0.0002773
75,943.858,1.13505,0.8441,1.2185,0.81717,0.70537,0.73586,0.40943,1.65722,1.5334,1.74836,0.0002674,0.0002674,0.0002674
76,955.374,1.12836,0.83068,1.21209,0.82462,0.69034,0.72188,0.42493,1.60746,1.58816,1.72579,0.0002575,0.0002575,0.0002575
77,967.321,1.10228,0.83602,1.20751,0.85305,0.6797,0.72125,0.41208,1.59251,1.56407,1.72919,0.0002476,0.0002476,0.0002476
78,979.663,1.07081,0.81915,1.18788,0.75379,0.67512,0.67834,0.38623,1.61067,1.53534,1.74468,0.0002377,0.0002377,0.0002377
79,992.147,1.08989,0.79368,1.19759,0.87117,0.6586,0.71871,0.38042,1.68566,1.49967,1.77722,0.0002278,0.0002278,0.0002278
80,1004.55,1.08391,0.81215,1.20212,0.87573,0.66418,0.73397,0.41056,1.75491,1.39523,1.81795,0.0002179,0.0002179,0.0002179
81,1016.57,1.06819,0.79329,1.19372,0.91115,0.69708,0.75369,0.4176,1.69808,1.45694,1.80039,0.000208,0.000208,0.000208
82,1028.81,1.06386,0.79229,1.19228,0.83403,0.68552,0.73494,0.4127,1.69215,1.58048,1.81427,0.0001981,0.0001981,0.0001981
83,1040.27,1.10673,0.82505,1.21328,0.8369,0.65682,0.69999,0.40326,1.6496,1.60685,1.7861,0.0001882,0.0001882,0.0001882
84,1052.16,1.04007,0.80499,1.1934,0.75346,0.70375,0.70838,0.39111,1.66273,1.57635,1.82734,0.0001783,0.0001783,0.0001783
85,1064.37,1.05668,0.78095,1.18154,0.80473,0.67885,0.71029,0.39717,1.65223,1.50862,1.82816,0.0001684,0.0001684,0.0001684
86,1076.63,1.05465,0.7952,1.18799,0.80867,0.67322,0.70655,0.39862,1.67546,1.55235,1.84096,0.0001585,0.0001585,0.0001585
87,1089.02,1.02608,0.7684,1.16285,0.84613,0.67445,0.73962,0.41125,1.65984,1.59099,1.83265,0.0001486,0.0001486,0.0001486
88,1100.84,1.04492,0.77439,1.18525,0.81563,0.7267,0.74812,0.41545,1.71548,1.55643,1.86448,0.0001387,0.0001387,0.0001387
89,1112.93,0.9899,0.74726,1.13981,0.80149,0.68978,0.74195,0.42239,1.67023,1.55151,1.83967,0.0001288,0.0001288,0.0001288
90,1124.62,1.03786,0.75228,1.15423,0.77752,0.70888,0.73626,0.40668,1.66622,1.56182,1.85281,0.0001189,0.0001189,0.0001189
91,1138.61,0.92801,0.66264,1.11154,0.78007,0.69026,0.69233,0.36964,1.71229,1.66117,1.91254,0.000109,0.000109,0.000109
92,1150.32,0.91733,0.64008,1.12781,0.77032,0.69676,0.70439,0.37364,1.70527,1.5724,1.89205,9.91e-05,9.91e-05,9.91e-05
93,1161.44,0.93795,0.639,1.11507,0.79757,0.69679,0.70725,0.37456,1.70758,1.56276,1.86207,8.92e-05,8.92e-05,8.92e-05
94,1172.69,0.89159,0.59263,1.10138,0.78839,0.67493,0.70281,0.37424,1.72129,1.60904,1.87997,7.93e-05,7.93e-05,7.93e-05
95,1183.51,0.88861,0.58959,1.09757,0.78548,0.65493,0.68362,0.37246,1.69637,1.62833,1.86156,6.94e-05,6.94e-05,6.94e-05
96,1194.29,0.88507,0.58593,1.08802,0.77039,0.65045,0.67864,0.37152,1.69257,1.6464,1.85383,5.95e-05,5.95e-05,5.95e-05
97,1205.16,0.8877,0.59432,1.07495,0.78978,0.66149,0.69823,0.38194,1.69154,1.62412,1.84458,4.96e-05,4.96e-05,4.96e-05
98,1216.34,0.85727,0.55526,1.07041,0.84273,0.68423,0.72199,0.38898,1.67877,1.55238,1.85354,3.97e-05,3.97e-05,3.97e-05
99,1227.28,0.86866,0.58466,1.06974,0.83065,0.65276,0.70211,0.39474,1.69955,1.56302,1.86964,2.98e-05,2.98e-05,2.98e-05
100,1238.02,0.864,0.59076,1.07704,0.79651,0.66584,0.70613,0.38978,1.69783,1.55457,1.86194,1.99e-05,1.99e-05,1.99e-05
